member,section,governing_case,screen_ratio,compression_lb,tension_lb,moment_local_y_lbin,moment_local_z_lbin,compression_capacity_lb,effective_length_in
T-S diagonal 9,HSS2x2x0.125,strength_HT0.25,0.015350590775131782,0,385.85602862981614,56.361229460771675,56.11091708410965,24921.05256149328,57.41510257716951
T-S diagonal 10,HSS2x2x0.125,strength_lateral_HX_-2,0.011872129165004072,202.07416793778975,0,25.200236685402366,57.1087419033248,24921.05256149328,57.41510257716952
T-S diagonal 11,HSS2x2x0.125,strength_lateral_HX_2,0.010531404355421697,171.28441316743556,0,21.75464189823489,58.252889615392725,24921.05256149328,57.41510257716952
T-S diagonal 12,HSS2x2x0.125,strength_lateral_HX_2,0.015057316070679977,0,307.1998150737418,95.60488619129225,55.96158041038537,24921.052561493296,57.41510257716949
T-S diagonal 13,HSS2x2x0.125,strength_lateral_HX_2,0.029636976369935262,443.7233391334412,0,148.79410566395885,114.09981376360395,25188.33855130985,56.67519155045032
T1 vertical 1,HSS2x2x0.125,strength_HT0.25,0.14472218602746717,0,2665.1460643663886,1150.4422204675388,472.654622141186,31189.825050376392,39.000000234922794
T1 vertical 2,HSS2x2x0.125,strength_HT0.25,0.1326892385629688,0,3263.625327164482,87.63213476027963,926.041144752398,31189.825050376392,39.000000234922794
T1 vertical 3,HSS2x2x0.125,strength_HT0.25,0.017620231871371878,76.49428222811548,0,53.340900727621964,278.37652842338576,31189.825050376392,39.000000234922794
T1 vertical 4,HSS2x2x0.125,strength_HT0.75,0.1502598581115459,0,3505.7119645818602,79.50812738411236,1178.3701900073204,31189.825050376392,39.000000234922794
T1 vertical 5,HSS2x2x0.125,strength_HT0.5,0.05927795133993437,0,1369.2747048954916,90.28179489105567,413.9037787952031,31189.825050376392,39.000000234922794
T1 diagonal 6,HSS2x2x0.125,strength_HT0.25,0.4372144021756727,7161.361381313793,0,146.85802378545083,715.9076422873052,18004.015792980736,76.61024035132827
T1 diagonal 7,HSS2x2x0.125,strength_HT0.5,0.10940686410554301,0,3547.905879054597,91.58456646979079,248.42657863684664,17717.083499409327,77.43548234942611
T1 diagonal 8,HSS2x2x0.125,strength_HT0.5,0.10635335013995692,0,3433.2282106650964,90.2985839134531,249.28143319117044,17717.083499409324,77.43548234942614
T1 diagonal 9,HSS2x2x0.125,strength_HT0.75,0.44211962440486785,7423.803416845214,0,101.69024106086717,549.556685245807,18004.01579298071,76.61024035132833
T-W vertical 1,HSS2x2x0.125,strength_roof,0.11547445868479116,327.3704306429172,0,2253.296598632152,71.68400165844325,35718.338423911075,21.17136103677467
T-W vertical 2,HSS2x2x0.125,strength_roof,0.058563981811936214,631.0237207660139,0,661.3343786631341,199.46158938397295,32858.43849182748,33.2957166897568
T-W vertical 3,HSS2x2x0.125,strength_HT0.25,0.30994988124072753,0,2992.086383854621,1224.9281912627712,3822.5400179560515,19074.877498942922,73.5658979657332
T-W vertical 4,HSS2x2x0.125,strength_HT0.25,0.2628522737918852,718.1780939670862,0,2072.5156141677508,2123.632837874721,10117.394707733312,104.17264973081035
T-W vertical 5,HSS2x2x0.125,strength_lateral_HX_-2,0.376142781495584,823.7467547769161,0,2597.222383652269,3764.6739631829378,9663.08763399152,106.59334686739945
T-W vertical 6,HSS2x2x0.125,strength_lateral_HX_-2,0.3069104520254438,1097.8603212870566,0,2800.2490080493467,1427.1482841153277,9663.08763399152,106.59334686739945
T-W vertical 7,HSS2x2x0.125,strength_lateral_HX_-2,0.17408061646083015,872.0729008323906,0,1680.4228141193807,152.99974876512255,9663.08763399152,106.59334686739945
T-W diagonal 8,HSS3x3x0.125,strength_roof,0.059627523696186936,0,2717.697790050233,66.2226992096719,639.092448444387,51769.12087591616,47.84344098435916
T-W diagonal 9,HSS3x3x0.125,strength_HT0.25,0.4672672670827648,13642.16345210616,0,284.48339755617764,2208.3571910997375,32426.091961852377,105.11813826804436
T-W diagonal 10,HSS3x3x0.125,strength_HT0.25,0.2694632593620068,1555.4317302652053,0,6142.7444995000105,5998.108356527209,36390.0558119832,94.28709007888266
T-W balcony header,HSS3x3x0.188,strength_lateral_HX_2,0.5185359085416171,3353.6835893541574,260.00756738707423,20140.10637307237,14565.529432820947,69477.8259043237,60.0
T-W vertical 11,HSS2x2x0.125,strength_lateral_HX_-2,0.17515831742170102,0,1262.5903954115179,1110.1473675398647,1990.0663056989292,36796.23170217998,14.593346867399504
T-W vertical 12,HSS2x2x0.125,strength_lateral_HX_-2,0.24334242373611453,0,1920.5469738508482,564.8457002824371,3645.8795005269685,36796.23170217998,14.593346867399504
T-W vertical 13,HSS2x2x0.125,strength_roof,0.10422455479544784,160.52459202245518,0,1315.5329969041065,868.4495285612481,36796.23170217998,14.593346867399504
T-W vertical 14,HSS2x2x0.125,strength_lateral_HX_2,0.1611264191522182,738.2900506620717,0,1705.4961714129793,1379.5327198134396,36796.23170217998,14.593346867399504
T-W diagonal 15,HSS3x3x0.125,strength_lateral_HX_-2,0.278327308414322,0,1400.8392206297722,11610.902095831223,2011.2185985638525,54852.60967335959,34.7211159757119
T-W diagonal 16,HSS3x3x0.125,strength_lateral_HX_2,0.054415022154894695,0,1618.7291644115467,441.44106346228733,990.7235993556,54852.60967335959,34.721115975711875
T-E vertical 1,HSS3x3x0.25,strength_roof,0.04429685200772546,0,49.11312172855105,3333.4089243916856,632.7833992667581,107900.88571513454,17.17136103677467
T-E vertical 2,HSS3x3x0.25,strength_roof,0.07909143972923706,2050.97927462589,0,4357.387855979377,1018.8784367995402,104363.09132523542,29.2957166897568
T-E vertical 3,HSS3x3x0.25,strength_HT0.75,0.24302651887422835,0,4742.37161676673,1540.2185139302326,16534.90431918588,82458.78617402045,69.5658979657332
T-E vertical 4,HSS3x3x0.25,strength_HB0.75,0.2186753564297772,0,13918.09797870228,1976.9272934349358,6336.940278756616,60635.89488395466,100.17264973081035
T-E vertical 5,HSS3x3x0.25,strength_HB0.5,0.1839851359385805,1082.0555556765758,0,3129.9986621094954,11729.866260773511,54935.13704020149,108.18099205920413
T-E vertical 6,HSS3x3x0.25,strength_HB0.5,0.40246446913297074,0,7000.747792286682,1461.52849884569,29174.37328238879,54773.145669423415,108.41141041762904
T-E vertical 7,HSS3x3x0.25,strength_HB0.5,0.3045720533731505,0,3721.631737886899,1820.0805657095846,22662.691254862097,54773.145669423415,108.41141041762904
T-E vertical 8,HSS3x3x0.25,strength_HB0.75,0.10871335585737926,1245.9293672762433,0,2257.4325927564273,5524.283688469237,54935.13704020149,108.18099205920413
T-E vertical 9,HSS3x3x0.25,strength_HB0.75,0.11714906443820217,3820.7185163602917,0,2137.6232809738235,2422.8620797596727,57257.152408458016,104.8975304516488
T-E diagonal 10,HSS3x3x0.25,strength_lateral_HZ_-2,0.021134364743355318,0,1301.656144586159,117.50464813026778,721.8327205217207,97248.24852821643,45.29357274673985
T-E diagonal 11,HSS3x3x0.25,strength_lateral_HZ_-2,0.3027160598555468,15527.896840464236,0,21.61004616670195,3845.70954997231,59731.95600035556,101.43170367587476
T-E diagonal 12,HSS3x3x0.25,strength_HT0.75,0.09077029039552759,1705.0218316546525,0,5179.015607630432,759.0483980844239,67874.93070319033,90.15887573164444
T-E diagonal 13,HSS3x3x0.25,strength_HB0.75,0.3950853183909547,0,12470.559161745477,23581.83163200689,1880.7567627219964,42028.84606757349,127.30335463997669
T-N upper east jamb,HSS4x4x0.188,strength_HB0.75,0.09492438199161841,950.1219564797793,86.50765520945424,117.06165798062169,11549.845026905814,82193.60137543827,106.6279488100738
T-N loading header,HSS2x2x0.125,strength_lateral_HX_-2,0.3471620584017488,2433.5053187957965,0,2319.9132241968555,2561.6493903232767,19632.343069492505,72
T-N vertical 1,HSS2x2x0.125,strength_lateral_HX_-2,0.16253712137228915,804.817427441496,0,1597.9423185018138,135.24007465899624,9663.08763399151,106.59334686739948
T-N vertical 2,HSS2x2x0.125,strength_lateral_HX_2,0.08012311653505826,468.2682588648031,0,566.0776147226271,61.28890319041349,9103.733446264234,109.81920388534857
T-N vertical 3,HSS2x2x0.125,strength_HB0.5,0.21645725238013416,0,2995.8869709667924,205.62456796050802,2794.960936962239,9103.733446264234,109.81920388534857
T-N vertical 4,HSS2x2x0.125,strength_HB0.75,0.15043403051945306,1127.635815011392,0,270.4913597900613,310.5688412890013,9103.733446264234,109.81920388534857
T-N vertical 5,HSS2x2x0.125,strength_lateral_HX_2,0.032950551928076575,138.26568958070493,0,287.4753635793219,120.22314315110397,9663.087633991507,106.5933468673995
T-N diagonal 6,HSS2x2x0.125,strength_lateral_HX_-2,0.15022161454708965,890.2860930708448,0,611.614311739022,185.69888904803085,7825.68111813134,118.44779599882764
T-N diagonal 7,HSS2x2x0.125,strength_lateral_HX_-2,0.12128191611746583,542.4824234172156,0,204.79091189489125,786.4764770585624,7142.016802536429,123.98742023681228
T-N diagonal 8,HSS2x2x0.125,strength_HB0.25,0.44425570352772115,2540.5311123433894,0,310.2335815548203,703.0504414256741,6384.4702364362765,131.1371147958498
T-N diagonal 9,HSS2x2x0.125,strength_HB0.75,0.05731214299300399,258.36247294720306,0,165.0642654163586,385.5137206705565,8039.381210332243,116.8629234487136
T-N vertical 10,HSS2x2x0.125,strength_lateral_HX_-2,0.05494730685285443,115.1690624777475,0,343.52160581719966,788.8142732653432,36313.2190408494,17.8192038853486
T-N vertical 11,HSS2x2x0.125,strength_lateral_HX_-2,0.019920329765695022,0,7.718652780661159,95.64366836700815,335.54815164278807,36313.2190408494,17.8192038853486
T-N vertical 12,HSS2x2x0.125,strength_lateral_HX_-2,0.01675544433855882,0,116.78585160626972,42.106046654494854,256.7665640290162,36313.2190408494,17.8192038853486
T-N vertical 13,HSS2x2x0.125,strength_lateral_HX_2,0.010924190485636538,7.051139046501703,0,16.01852182289266,218.64690495982052,36313.2190408494,17.8192038853486
T-N vertical 14,HSS2x2x0.125,strength_HB0.75,0.035926244103774,0,980.9523763600519,15.101597478001732,203.05434332036282,36313.2190408494,17.8192038853486
T-N diagonal 15,HSS2x2x0.125,strength_lateral_HX_-2,0.08387024935770099,840.1294954229379,0,946.0913964464377,334.7022925035057,33198.4396084866,32.04913200190858
T-N diagonal 16,HSS2x2x0.125,strength_lateral_HX_-2,0.043318254611948756,0,558.2434927028662,416.26597159735866,208.12052170215946,33001.83695543977,32.77417980782677
T-N diagonal 17,HSS2x2x0.125,strength_lateral_HX_-2,0.036583841532049056,771.4748944644816,0,131.49131335986363,157.34830699702792,33001.83695543977,32.77417980782679
T-N diagonal 18,HSS2x2x0.125,strength_lateral_HX_-2,0.030319182256848973,0,482.5825708782795,164.6430592570988,219.22896926346937,33198.43960848662,32.049132001908546
T1 future hanger 1,HSS2x2x0.125,strength_HT0.25,0.3453011767389026,0,658.1491330371937,1523.5091601676766,5647.441290997746,34439.397487996044,27.143248
T1 future hanger 2,HSS2x2x0.125,strength_HT0.25,0.31277447929691504,0,3391.0354052658367,370.1414323628689,4508.280231099715,34439.397487996044,27.143248
T1 future hanger 3,HSS2x2x0.125,strength_HT0.5,0.17989189510619313,0,3872.0879591406847,27.434618902684562,1666.5216649955062,34439.397487996044,27.143248
T1 future hanger 4,HSS2x2x0.125,strength_HT0.75,0.15217830516890252,0,3636.5015886070323,112.26464524347912,1111.8989696777792,34439.397487996044,27.143248
T1 future hanger 5,HSS2x2x0.125,strength_HT0.75,0.08311204613209261,0,455.0587554128142,184.28571827869266,1370.0907364270445,34439.397487996044,27.143248
T-S top / segment 1,HSS3x3x0.188,strength_lateral_HX_2,0.03695787762919342,587.4656973845558,118.65239563118666,1048.4844452939412,996.9242500711433,63562.62978173031,72
T1 top / segment 1,HSS3x3x0.188,strength_HT0.5,0.2097393664391114,8316.518058970214,269.69693849524265,355.10671014727194,5467.685599597965,63562.62978173031,72
T-W top / segment 1,HSS4x4x0.313,strength_roof,0.23153890440480782,567.7105720080726,10022.113768432238,3079.366264398802,33365.61920163643,155651.66777587918,72
T-W top / segment 2,HSS4x4x0.313,strength_lateral_HX_2,0.785278371009112,136.65977683849633,3816.123156476766,134846.81572693316,22392.100094237354,155651.66777587918,72
T-E top / segment 1,HSS6x6x0.25,strength_roof,0.16754891423956791,8454.203998212004,4265.809951966046,2943.9155670016034,52427.61856118638,219974.84992660454,72
T-E top / segment 2,HSS6x6x0.25,strength_roof,0.03653311152715135,0,263.65876489924267,0.5231112191419564,15187.184967678766,233687.88336712134,25.91162602914991
T-E top / segment 3,HSS6x6x0.25,strength_lateral_HX_-2,0.14636468778303569,4429.9644145816565,69.03201032639481,43413.117652029934,10718.981225434947,219974.84992660454,72
T-E top / segment 4,HSS6x6x0.25,strength_roof,0.1369065352820456,6079.824242901523,2007.5786281060427,2434.883797456792,11559.953898366362,235027.36448536444,15.649595918595445
T-N top / segment 1,HSS3x3x0.125,strength_lateral_HX_-2,0.1633708530147982,741.9927584273973,0,6831.342260762764,1230.4304180598735,57858.74524924098,14.366842154776101
T-N top / segment 2,HSS3x3x0.125,strength_HB0.5,0.4715883030415525,1415.5280062078236,2.8686528569705843,956.0182456829511,22588.518013530465,44353.86446176774,72
T-N top / segment 3,HSS3x3x0.125,strength_lateral_HX_-2,0.03347761251963728,0,30.59855316253379,302.03143719145197,1462.6852684171126,57858.74524924099,14.366842154776034
BR-W-1,HSS3x3x0.188,strength_lateral_HX_2,0.12505929134231697,1910.794340730197,0,3850.564016354966,1188.3350612542804,33651.69049187157,128.47178678604888
BR-W-2,HSS3x3x0.188,strength_HB0.25,0.30902470564132506,1954.061986686425,0,15254.58344691426,3266.0748890630853,33651.69049187157,128.47178678604888
BR-S-1,HSS3x3x0.188,strength_lateral_HZ_-2,0.039383004627417645,665.2813547849306,0,634.6969543595267,715.1955583958282,31542.21277634114,132.73681667118584
BR-S-2,HSS3x3x0.188,strength_lateral_HZ_-2,0.028100669833850598,480.3572318296108,0,287.69158907603827,662.2356010118261,31542.21277634114,132.73681667118584
BR-R-main-1,HSS3x3x0.188,strength_lateral_HX_-2,0.19623326691765838,669.5206273578988,0,1576.75758379624,5360.0847519504605,6548.640283331393,291.3143705689783
BR-R-main-2,HSS3x3x0.188,strength_lateral_HX_2,0.13129214125467414,332.37446655389795,0,1067.0448124848267,4876.616170720839,6548.640283331393,291.3143705689783
BR-R-cap-1,HSS4x4x0.188,strength_lateral_HX_2,0.632615843094215,5309.785650334787,0,40206.515479296635,9701.830302496988,19238.333156190558,270.04242696930885
BR-R-cap-2,HSS4x4x0.188,strength_lateral_HX_2,0.37442028327881427,0,148.7918375839945,39515.70961478533,12705.051427415658,19238.333156190558,270.04242696930885
BR-E-upper-1,HSS3x3x0.188,strength_lateral_HZ_-2,0.635716235674929,19521.502290559176,0,1111.456986748244,3250.01076542322,33855.187540589235,128.05341277072247
BR-E-upper-2,HSS3x3x0.188,strength_HB0.75,0.6236249272992486,13197.859038983064,0,15623.198771983656,4186.445663632751,37155.97139607862,121.41488887515405
BR-N-upper-1,HSS3x3x0.188,strength_lateral_HX_-2,0.22604387510577342,4773.33893383923,0,739.7267380541871,3370.069028158237,28019.85574636665,140.8330319100597
BR-N-upper-2,HSS3x3x0.188,strength_lateral_HX_2,0.2563564174029884,6006.1480079803005,0,2901.7846189218826,778.0103380173841,29086.209436707817,138.22732804406058
BR-N-ground-1,HSS3x3x0.188,strength_lateral_HX_-2,0.24472007435743257,5988.875874530115,0,1810.4833011364865,1020.9570508471688,29022.38550273824,138.3792343525574
BR-N-ground-2,HSS3x3x0.188,strength_lateral_HX_2,0.2493852076683022,4944.990940215601,0,4995.702751629619,834.4826032444937,29022.38550273824,138.3792343525574
BR-E-ground-1,HSS3x3x0.188,strength_lateral_HZ_-2,0.3313075023928937,11070.102151775505,0,128.7149350316062,921.4871115192317,34912.96397999083,125.89678312014172
BR-E-ground-2,HSS3x3x0.188,strength_lateral_HZ_2,0.2708993251691327,9114.175208724684,0,60.71704732471314,665.8546121307113,34912.96397999083,125.89678312014172
