case,member,candidate,depth,M_kipft,V_kip,live_deflection_in,total_deflection_in,wood_sustained_screen_in,flexural_screen_ratio,shear_screen_ratio,passes_limited_screen
occupied40,B1,LVL 5.25 x 16,16,30.604728297965,5.998002415255917,0.2404993739207228,0.7365402818537988,0.9929406161794637,0.7286140922710148,0.37581468767267656,True
occupied40,B2,LVL 5.25 x 16,16,37.36046356595087,7.275956919982641,0.40806093292029993,0.9012092860961823,1.2549830363584056,0.8894494988782387,0.45588702506156903,False
occupied40,E-rail,LVL 5.25 x 16,16,6.20206141414876,6.092844575120877,0.006542267028272436,0.01461587982156088,0.020344164236028885,0.14765396063913305,0.38175717889228544,True
occupied40,S-header,LVL 5.25 x 16,16,3.092169833494667,1.465726733491393,0.00044951868377160974,0.034970566591218166,0.04415789060447585,0.07361602738127691,0.09183751462978654,True
occupied40,N-header,LVL 5.25 x 16,16,5.701336710786743,2.759578101088611,0.021134953663149568,0.06037826787139839,0.0823871938594674,0.13573308777054272,0.17290589605818366,True
occupied40,W-rail,LVL 5.25 x 16,16,0.17698680960669264,0.11854387884658064,0.0,0.0007703011989002213,0.001155451798350332,0.004213567340641868,0.007427561331239388,True
occupied40,B1,LVL 5.25 x 18,18,30.77180947199989,6.03023237185086,0.17152060049110085,0.5281697414598303,0.7124706537812238,0.5881847651057548,0.3358525408995188,True
occupied40,B2,LVL 5.25 x 18,18,37.52755335459494,7.308186876577072,0.2910003694281635,0.6455815547716072,0.8993139136493159,0.7173167757635786,0.4070279519118392,True
occupied40,E-rail,LVL 5.25 x 18,18,6.298592223828922,6.108009290973597,0.005566574074217943,0.012496211077412943,0.01740137603585939,0.12039382965245474,0.34018431027421875,True
occupied40,S-header,LVL 5.25 x 18,18,3.095689667754507,1.4857178725953035,0.00034000226070123556,0.026495421199313193,0.03357522333416103,0.05917225965295692,0.08274674868255659,True
occupied40,N-header,LVL 5.25 x 18,18,5.707930542809889,2.7761749181132207,0.015786864233324018,0.045450013396001784,0.06207683155572203,0.10910368428666871,0.15461848611045506,True
occupied40,W-rail,LVL 5.25 x 18,18,0.19605545076805636,0.13328858610078204,0.0,0.0006984350583295766,0.0010476525874943648,0.003747482882429843,0.007423480150419495,True
occupied40,B1,LVL 5.25 x 20,20,30.938899260664414,6.062462328447728,0.1271652193993455,0.3937192483922712,0.5314270651850542,0.48592991111270084,0.3038828234810891,True
occupied40,B2,LVL 5.25 x 20,20,37.69464314325857,7.3404168331738635,0.21572923175447783,0.48074590475769907,0.6699189624126657,0.5920364017383357,0.36794069339217367,True
occupied40,E-rail,LVL 5.25 x 20,20,6.395107711794701,6.124818577739711,0.004847896124986056,0.010936379411911574,0.015235644114214679,0.10044229743814782,0.3070084500120156,True
occupied40,S-header,LVL 5.25 x 20,20,3.180751333610448,1.5055525339994356,0.0002673726745630992,0.020878763122288212,0.02654797087636226,0.04995724637101189,0.07546629243104941,True
occupied40,N-header,LVL 5.25 x 20,20,5.751534446246895,2.792077526403778,0.01227133776443113,0.03560175962065358,0.04867152619950545,0.09033426169041968,0.13995376072199386,True
occupied40,W-rail,LVL 5.25 x 20,20,0.2141713222415353,0.14801167618780928,0.0,0.0006467318629971954,0.0009700977944957931,0.00336379942618178,0.007419131638486682,True
occupied40,B1,LVL 7 x 9.5,9.5,30.326275147616034,5.944285820931038,0.8292579867519271,2.516443051633909,3.3889307828550717,1.4770338874367799,0.4704618773985784,False
occupied40,B2,LVL 7 x 9.5,9.5,37.08198058487865,7.222240325658606,1.40730326628725,3.0845771361349392,4.292986985331191,1.8060688848377777,0.5716058825214568,False
occupied40,E-rail,LVL 7 x 9.5,9.5,5.944967644990051,6.106160488139534,0.011288964901995019,0.025058093302336677,0.03484284719827131,0.28954820955173605,0.4832734854087483,True
occupied40,S-header,LVL 7 x 9.5,9.5,3.1684808270061744,1.441042875973321,0.0013045058180928422,0.1037686368066992,0.13020574444065247,0.1543200914191312,0.11405167202004915,True
occupied40,N-header,LVL 7 x 9.5,9.5,5.888860257553773,2.7388624922199636,0.06384420530818051,0.1803000154851627,0.24558516414314252,0.28681551283327866,0.21676790599287407,True
occupied40,W-rail,LVL 7 x 9.5,9.5,0.1456600704046328,0.0939841456720857,0.0,0.001394179081546081,0.002091268622319122,0.007094338456893626,0.007438396966528351,True
occupied40,B1,LVL 7 x 11.875,11.875,30.590805640418697,5.995316585534769,0.4296700344187982,1.3153010422723563,1.7730881135144947,0.9535473798602401,0.37960057526140206,False
occupied40,B2,LVL 7 x 11.875,11.875,37.346539416862264,7.273271090260433,0.7291313154107855,1.6096167678913462,2.241429802363608,1.164130661558764,0.4605157793595842,False
occupied40,E-rail,LVL 7 x 11.875,11.875,6.062413837632504,6.13591081965588,0.007692336527586181,0.017192229717006364,0.023924857677775743,0.18897177467156812,0.38850246582704423,True
occupied40,S-header,LVL 7 x 11.875,11.875,3.2070399504446114,1.4762029835509634,0.0007160611738344899,0.05769717298596852,0.07283924127334161,0.09996678668093155,0.09346754149907167,True
occupied40,N-header,LVL 7 x 11.875,11.875,5.881645594070266,2.7713470796856656,0.03456431389596732,0.09887806800745479,0.13488468651387098,0.18333703961303924,0.17547112495041808,True
occupied40,W-rail,LVL 7 x 11.875,11.875,0.17989136833233532,0.11742542769812636,0.0,0.001047793547648752,0.0015716903214731282,0.005607401941259364,0.007434930127305192,True
occupied40,B1,LVL 7 x 14,14,30.82750606824965,6.040975690717871,0.2655758844039627,0.8193005477552584,1.1054166088704525,0.7060015962070063,0.3244347846787256,False
occupied40,B2,LVL 7 x 14,14,37.58324995085081,7.318930195444361,0.4506407072458853,1.001178285743036,1.3948402024504396,0.8607194625865539,0.39306821672633513,False
occupied40,E-rail,LVL 7 x 14,14,6.172675668625182,6.161918067495478,0.005953932929030446,0.013393924704270232,0.01865145891627937,0.14136462629411026,0.33093007881286135,True
occupied40,S-header,LVL 7 x 14,14,3.2315825983315953,1.5071524359841104,0.00046876118043359796,0.03810620548205226,0.04835166682490026,0.07400866186339647,0.08094266573491464,True
occupied40,N-header,LVL 7 x 14,14,5.8588442662886235,2.799265141975239,0.022325514629849805,0.06459287062463165,0.08823108013518173,0.134177360788462,0.1503364737902921,True
occupied40,W-rail,LVL 7 x 14,14,0.2093664510069185,0.13837132509698333,0.0,0.0008746781869849435,0.0013120172804774153,0.004794842900227936,0.007431327878463121,True
occupied40,B1,LVL 7 x 16,16,31.05029245313541,6.0839489661818575,0.18037453044054208,0.5604950577294358,0.7568402316432278,0.5544163085740034,0.285899857433358,True
