tilt,solar_kw,battery_kwh,annual_solar_kwh,august_kwh,annual_import_kwh,annual_export_kwh,annual_bill,first_year_saving,roof_fits_22pct_90pct,upfront,annual_equipment,annual_net_saving,npv
13,6.5,0.0,10052.965,1000.4149999999997,6436.780091986738,5393.49741053246,2384.28454688474,1918.9709132779299,True,26640.0,2041.6321526764762,-211.0115209800681,-2973.984679489865
13,7.0,0.0,10826.27,1077.37,6376.26802641937,6106.290344965091,2323.4072468813238,1979.848213281346,False,27920.0,2138.85129801949,-250.156184517695,-3525.6873974456553
13,7.5,0.0,11599.574999999999,1154.3249999999998,6323.671594250226,6826.998912795947,2312.5274926534203,1990.7279675092495,False,29200.0,2236.070443362504,-336.9964843974576,-4749.60977004973
13,8.0,0.0,12372.88,1231.2799999999997,6277.686291497659,7554.318610043381,2329.0590649331816,1974.1963952294882,False,30480.0,2333.289588705518,-449.9860810174098,-6342.078881351096
13,8.5,0.0,13146.185,1308.235,6237.128927040296,8287.066245586018,2347.4094620357446,1955.8459981269252,False,31760.0,2430.508734048532,-564.7107629495076,-7959.002188859194
13,2.0,13.5,3093.22,307.81999999999994,8015.79218245021,0.0,3267.110553605393,1036.144906557277,True,29370.0,2469.538261815239,-1481.0979315077511,-20874.512143553788
13,2.5,13.5,3866.5249999999996,384.775,7274.266161041032,0.0,2919.0064366020943,1384.2490235605756,True,30650.0,2566.7574071582526,-1246.2398295327362,-17564.435073431443
13,3.0,13.5,4639.83,461.72999999999996,6546.227162392601,0.0,2532.069847369309,1771.1856127933606,True,31930.0,2663.976552501267,-974.3371197675776,-13732.253354643934
13,3.5,13.5,5413.135,538.685,5826.882192802283,0.0,2140.429829874812,2162.8256302878576,True,33210.0,2761.195697844281,-697.9475296875485,-9836.833793424177
13,4.0,13.5,6186.44,615.6399999999999,5114.127410065259,1.2272998341801595,1771.9478706188947,2531.307589543775,True,34490.0,2858.414843187295,-443.6497904574926,-6252.775553445263
13,4.5,13.5,6959.745,692.5949999999999,4435.182799887705,35.70522266139623,1462.677724397466,2840.577735765204,True,35770.0,2955.6339885303087,-245.83772583098016,-3464.82328010434
13,5.0,13.5,7733.049999999999,769.55,3882.72886979366,207.84657528422935,1228.878509372613,3074.376950790057,True,37050.0,3052.853133873323,-120.02187687706328,-1691.5816794179705
13,5.5,13.5,8506.355,846.5049999999999,3437.7420852890004,497.5309307138239,1033.8544136983342,3269.4010464643356,True,38330.0,3150.072279216337,-31.195923386648246,-439.6736148979933
13,6.0,13.5,9279.66,923.4599999999999,3089.9106210388627,893.6024848641493,885.2052248281362,3418.0502353345337,True,39610.0,3247.2914245593506,13.390244809923388,188.7213680768284
13,6.5,13.5,10052.965,1000.4149999999997,2827.61164264738,1383.3102445998393,773.523838566294,3529.7316215963756,True,40890.0,3344.5105699023643,22.710624611746425,320.0822843382059
13,7.0,13.5,10826.27,1077.37,2634.3359206545665,1948.5880052264201,688.6903578807318,3614.565102281938,False,42170.0,3441.729715245379,6.419188452366143,90.47168620664797
13,7.5,13.5,11599.574999999999,1154.3249999999998,2495.289084611285,2573.240568752679,626.4268674852109,3676.828592677459,False,43450.0,3538.9488605883926,-31.403105520569625,-442.5936284085574
13,8.0,13.5,12372.88,1231.2799999999997,2384.3909500573172,3228.434897331889,637.0653936354746,3666.190066527195,False,44730.0,3636.1680059314067,-138.77097449809116,-1955.8304219520987
13,8.5,13.5,13146.185,1308.235,2299.1319084394263,3911.5140026961617,653.6972661668101,3649.5581939958597,False,46010.0,3733.3871512744204,-251.85625350104556,-3549.6480754554495
13,2.0,27.0,3093.22,307.81999999999994,8015.79218245021,0.0,3263.9036501991122,1039.3518099635576,True,41120.0,3543.8415181243045,-2552.341931681784,-35972.56569871464
13,2.5,27.0,3866.5249999999996,384.775,7274.266161041032,0.0,2915.7995331958136,1387.4559269668562,True,42400.0,3641.060663467318,-2317.483829706769,-32662.4886285923
13,3.0,27.0,4639.83,461.72999999999996,6546.227162392602,0.0,2525.930061882372,1777.325398280298,True,43680.0,3738.2798088103323,-2042.78326906746,-28790.87415468046
13,3.5,27.0,5413.135,538.685,5826.882192802283,0.0,2132.021935756976,2171.233524405694,True,44960.0,3835.4989541533464,-1764.2299950952356,-24864.95975262565
