case,group,Ncomp,Ntension,M,V,T,ratio
service patch1000,T1,5995.491781440815,6026.419130809044,141914.32085996956,4728.614558954664,1375.3170911271832,0.6457312890984501
service patch1000,T-W,4148.165056758767,2816.791758741689,79229.65497686123,3426.156970005422,31076.11933925068,0.36923499097401713
service patch1000,B-WO,144.20160584436962,133.42505581576552,34974.74988602364,1565.0882132073934,3253.08654772934,0.49982271318613725
service patch1000,S3,7975.901686777201,0.0,20707.725821971355,329.9298734738107,1066.1312207778808,0.18866006415406858
service patch1000,S1,99.22151249999993,0.0,0.0,0.0,0.0,0.000888942855189316
service patch1000,T-S,1341.854806880263,875.314008321875,5341.80935349099,371.49784134317696,191.2677207632353,0.28614950306657005
service patch1000,N1,3926.183209694419,0.0,6093.7493508690995,90.92288749993507,674.839863675433,0.06989757943547159
service patch1000,T-E,8799.337240382643,8572.252664999225,22855.965960000867,2079.517762815804,34128.68584046268,0.32577673171806587
service patch1000,W2,8993.19650599286,0.0,63291.117109111394,788.6018449261328,25.782073770513897,0.4404145922600428
service patch1000,O3,376.40372632205253,0.0,34334.50637611056,1945.8318985351086,1239.1907421979154,0.4699249353618141
service patch1000,W3,2562.3644370532597,0.0,35270.93931718422,413.85700387933275,237.67137997723756,0.22314051217304418
service patch1000,N2,11726.697959437315,0.0,32990.125935189135,431.72520855008423,332.7938727939888,0.2922492887038147
service patch1000,O2,730.3230872470886,0.0,224821.88032907507,8972.538168156003,809.1255605787152,0.5782635656464258
service patch1000,T-SO,9.14287975220941,13.581022969214246,51937.24162644098,1531.9921817378156,34068.71871565622,0.11314771361205574
service patch1000,T-N,6075.439023247555,5062.780568163551,9811.718065784513,3392.4891914892,1819.3514593727875,0.3186868092917038
strength floor,B3,289.1943025504006,0.0,273166.7217696589,5610.099911260571,18096.6720755246,0.2848181453529153
strength floor,W1,2057.7908241888595,0.0,25691.332580098493,285.01820357515584,685.8663628525472,0.16387726101572195
strength floor,S2,4877.2020581887255,0.0,20361.64286713663,377.4416410073154,1042.9303531571554,0.15971646190725153
strength floor,W4,8065.108252427784,0.0,8380.645108529527,84.18339763079678,876.3841245165362,0.12000967663362831
strength floor,B2,0.0,167.93261486291885,354023.1107363607,7824.919899313974,7760.577208261748,0.36805125345649436
strength floor,T1,9068.14173713619,9059.486056925665,187126.77541956957,6802.198220666909,1345.5635013696424,0.8555593120207334
strength floor,T-W,6542.137860948122,6129.907908899131,140920.83927889273,6597.290674729304,35854.60625511288,0.6652699083724505
strength floor,B-WO,178.84601569685037,104.73701088287635,39222.075257308825,1712.9670177848238,4419.609867843982,0.5635994474957663
strength floor,S3,10198.763989404732,0.0,26458.12194846573,420.2859336540787,1392.861092333495,0.24118283125827283
strength floor,S1,119.06581499999992,0.0,0.0,0.0,0.0,0.0010667314262271792
strength floor,T-S,1539.0300853897643,1026.0849384450994,6492.751091450133,445.24021204771896,218.2240442396036,0.34734177782894676
strength floor,N1,6983.568871386527,0.0,6011.4180841773405,90.57796394876596,1015.5752376549984,0.09682010739065526
strength floor,T-E,12195.856080614567,13055.15114147721,30248.640218656135,6308.252421767567,87880.36888872634,0.8063272205270489
strength floor,W2,11886.415461620165,0.0,87699.86657689384,1084.2738594469963,48.02511232551561,0.6052586053210343
strength floor,O3,672.8387500029639,0.0,58118.54652769533,3136.5630896043895,1480.9074103047735,0.795893695768694
strength floor,W3,3995.207718538684,0.0,57728.60712144422,723.9115321477562,414.3147947525639,0.36378349014257083
