truss,stage,case,physical_member,maximum_compression_lb,maximum_tension_lb
T1,complete,HT0.5,T1 vertical 1,0.0,1594.1518790959121
T1,complete,HT0.5,T1 vertical 2,0.0,1170.7977273617803
T1,complete,HT0.5,T1 vertical 3,30.78046576652057,0.0
T1,complete,HT0.5,T1 vertical 4,0.0,1189.689629158489
T1,complete,HT0.5,T1 vertical 5,0.0,820.9053348612169
T1,complete,HT0.5,T1 diagonal 6,4361.995818331484,0.0
T1,complete,HT0.5,T1 diagonal 7,0.0,2271.9482588481806
T1,complete,HT0.5,T1 diagonal 8,0.0,2342.1442731521133
T1,complete,HT0.5,T1 diagonal 9,4436.0125768281905,0.0
T1,complete,HT0.5,T1 future hanger 1,0.0,387.32249549921977
T1,complete,HT0.5,T1 future hanger 2,0.0,1199.1841983896566
T1,complete,HT0.5,T1 future hanger 3,0.0,2539.664534242627
T1,complete,HT0.5,T1 future hanger 4,0.0,1214.443586730221
T1,complete,HT0.5,T1 future hanger 5,0.0,209.8878761500414
T1,complete,HT0.5,T1 top / segment 1,5445.97813071452,177.66171801958976
T1,complete,HT0.75,T1 upper lower chord,797.332429476137,3105.6287102088804
T1,complete,HT0.75,T1 future floor beam,0.0,864.4984310998134
T1,complete,HT0.75,T1 vertical 1,0.0,1417.2066309943739
T1,complete,HT0.75,T1 vertical 2,0.0,1044.4512913222698
T1,complete,HT0.75,T1 vertical 3,53.24834569635574,0.0
T1,complete,HT0.75,T1 vertical 4,0.0,2131.022170544146
T1,complete,HT0.75,T1 vertical 5,0.0,896.7439123200002
T1,complete,HT0.75,T1 diagonal 6,3782.8407691158795,0.0
T1,complete,HT0.75,T1 diagonal 7,0.0,1916.419008026187
T1,complete,HT0.75,T1 diagonal 8,0.0,1041.2530262847354
T1,complete,HT0.75,T1 diagonal 9,4758.541671014858,0.0
T1,complete,HT0.75,T1 future hanger 1,0.0,382.3476841389958
T1,complete,HT0.75,T1 future hanger 2,0.0,1071.5090821204958
T1,complete,HT0.75,T1 future hanger 3,0.0,1550.6256261717006
T1,complete,HT0.75,T1 future hanger 4,0.0,2194.955332729409
T1,complete,HT0.75,T1 future hanger 5,0.0,239.820320251819
T1,complete,HT0.75,T1 top / segment 1,4673.068298493824,132.99995296736319
T1,complete,storage125_strength_sensitivity,T1 upper lower chord,2288.6223000986847,8573.620462541721
T1,complete,storage125_strength_sensitivity,T1 future floor beam,0.0,2530.970470929078
T1,complete,storage125_strength_sensitivity,T1 vertical 1,0.0,4386.043064078425
T1,complete,storage125_strength_sensitivity,T1 vertical 2,0.0,4196.183105110026
T1,complete,storage125_strength_sensitivity,T1 vertical 3,65.75075653006593,0.0
T1,complete,storage125_strength_sensitivity,T1 vertical 4,0.0,4517.624233759149
T1,complete,storage125_strength_sensitivity,T1 vertical 5,0.0,2504.1782205009695
T1,complete,storage125_strength_sensitivity,T1 diagonal 6,12260.67193073962,0.0
T1,complete,storage125_strength_sensitivity,T1 diagonal 7,0.0,5109.02340700533
T1,complete,storage125_strength_sensitivity,T1 diagonal 8,0.0,4860.335719277909
T1,complete,storage125_strength_sensitivity,T1 diagonal 9,12541.070897465195,0.0
T1,complete,storage125_strength_sensitivity,T1 future hanger 1,0.0,897.5432362290621
T1,complete,storage125_strength_sensitivity,T1 future hanger 2,0.0,4402.349264187871
T1,complete,storage125_strength_sensitivity,T1 future hanger 3,0.0,5521.732496307369
T1,complete,storage125_strength_sensitivity,T1 future hanger 4,0.0,4712.917378772652
T1,complete,storage125_strength_sensitivity,T1 future hanger 5,0.0,655.5028277150961
T1,complete,storage125_strength_sensitivity,T1 top / segment 1,14170.584731282092,282.9599489729297
T1,complete,strength_roof,T1 upper lower chord,724.3230603543187,2538.1385904700205
T1,complete,strength_roof,T1 future floor beam,0.0,776.9838605731371
T1,complete,strength_roof,T1 vertical 1,0.0,1469.9947600049638
T1,complete,strength_roof,T1 vertical 2,0.0,1178.203783503826
T1,complete,strength_roof,T1 vertical 3,57.87795644795731,0.0
T1,complete,strength_roof,T1 vertical 4,0.0,1352.3029302429459
T1,complete,strength_roof,T1 vertical 5,0.0,752.1886204069995
T1,complete,strength_roof,T1 diagonal 6,3587.1799578047644,0.0
T1,complete,strength_roof,T1 diagonal 7,0.0,1454.48770977267
T1,complete,strength_roof,T1 diagonal 8,0.0,1384.713552306008
