case,group,Ncomp,Ntension,M,V,T,ratio
strength floor,N2,19873.66845196948,0.0,60545.31867152665,844.1458256996708,512.6183788072229,0.5220910307947662
strength floor,B3,478.4504314248916,0.0,246737.67674322912,6169.222484605773,20750.659019309085,0.2581301185335263
strength floor,O3,717.2234531994909,0.0,142761.4915859387,6881.531014697407,13270.761910921323,0.36812740560224827
strength floor,S2,5234.310832728015,0.0,24946.980804368734,457.9063928281978,626.5770491956031,0.18809493775322145
strength floor,T1,5240.463516241894,4379.213553660242,43460.28918274685,2446.3556634892775,907.1161934452155,0.6239503176499079
strength roof,N1,7389.729134891347,0.0,17989.041502921085,322.8307715495266,686.0632284344721,0.16870753459810672
strength roof,T-S,1039.6241842413729,654.231161390082,5312.053615678158,369.72867967239256,205.14854236896022,0.27950533983601134
strength roof,S3,11143.338272258634,0.0,29823.26095016701,484.6923377312154,935.596806404787,0.26882001839326275
strength roof,T-N,7453.980092953874,6640.531978203799,50728.1226333641,4140.420807511037,19313.50692913399,0.368515852667749
strength roof,T-SO,362.9080193527043,0.0,150470.25079771303,4292.25514475104,84146.27365077432,0.1949485638800275
strength roof,W2,6482.216969045507,0.0,70999.53890426226,810.9906698984701,17.090026664912372,0.46168288518170286
strength roof,B-WO,740.7504793854896,0.0,101644.7248426915,4382.793994779983,49123.90054623832,0.24309306489183044
strength roof,T-E,11488.854201189524,12037.532126491005,41814.27244750841,4653.910056885023,106500.39962446972,0.5172823609023071
strength roof,W4,4934.800008550094,0.0,13739.623864242618,101.25768593164213,763.2264515512186,0.12155198427851038
strength roof,O2,554.5390739797149,0.0,151111.78019740985,7372.976076052111,1514.0943014627446,0.6701086751575462
strength roof,B2,37.86147370026447,0.0,276722.40175022115,5169.7226613104285,6880.943046563023,0.2874944450599744
strength roof,W3,7327.856585903372,0.0,67476.87303176016,882.7655985976224,575.2843481793627,0.44918694794945535
strength roof,T-W,3752.0020802428617,4868.912633821387,81660.3602998339,5310.041575134452,46545.42358245836,0.5249226957432226
strength roof,S1,119.06581499999992,0.0,0.0,0.0,0.0,0.0010667314262271792
strength roof,W1,5714.367738505182,0.0,37185.180777901856,309.4835443677524,806.6558914547608,0.2621291845755672
strength roof,N2,18241.352329616453,0.0,46984.10235913242,671.7423001773171,487.64073531683215,0.43019493782200613
strength roof,B3,406.17413869383745,0.0,164127.41763697015,4159.984982883459,19537.708653381473,0.17205694990703368
strength roof,O3,648.2135111477692,0.0,125860.57342725375,6100.8162798592375,14091.709596685534,0.32460478987372676
strength roof,S2,6341.516210309615,0.0,26372.24295710384,483.8663263076324,635.0987790934114,0.20613573592345297
strength roof,T1,4046.8679966610994,3536.4443054350777,48062.291076679554,2272.337846965804,938.8341770454878,0.6807495790190473
uplift sensitivity,N1,1525.2585606039172,0.0,809.9653090794667,13.07406552952683,13.48262640736455,0.01828024471053587
uplift sensitivity,T-S,359.8179545244948,299.98737755504953,942.5547667323835,72.54103734228083,29.187076915748193,0.04341721727714879
uplift sensitivity,S3,558.7509239301415,0.0,2048.749450030946,32.57980359595172,63.879967406842226,0.016679733128987552
uplift sensitivity,T-N,1018.9537587439604,792.16515023791,5811.7132255529,272.2433351230866,878.5059507055151,0.041563554877795665
uplift sensitivity,T-SO,33.648597757157404,0.45882793044438586,15636.204862558312,307.9652832690977,4662.869713359524,0.016238136805374392
uplift sensitivity,W2,662.8780366673227,0.0,4992.797084099124,56.766282017018526,16.6403440162235,0.03367667202321974
uplift sensitivity,B-WO,55.03064681843898,0.0,7312.669654797148,303.63955038117365,3007.58445760758,0.0175133852867647
uplift sensitivity,T-E,756.3206681245839,756.9063033814984,5229.940938945461,789.2559519724955,8865.415716451287,0.04823696649433719
uplift sensitivity,W4,650.5048563811727,0.0,1117.3205171969707,12.198121944919803,54.384842163097936,0.011483330979904782
uplift sensitivity,O2,37.43382480448054,0.0,9927.974016947734,487.19852372186796,197.67781444090437,0.044032744181906044
uplift sensitivity,B2,12.693651982757729,0.0,48095.191891751114,773.6616018579045,585.3655176336438,0.049989998495771334
uplift sensitivity,W3,799.7649779112909,0.0,4658.567240660118,60.499914282682894,44.12424294955191,0.032998622478788646
uplift sensitivity,T-W,205.34099998473025,558.0990507778656,6761.399392007448,317.9218314285601,2860.384438128643,0.04825151957837321
uplift sensitivity,S1,89.29936124999998,0.0,0.0,0.0,0.0,0.0008000485696703848
uplift sensitivity,W1,550.068635997242,0.0,3143.8816400020823,27.41359479493519,45.64344388429699,0.022130862169788018
uplift sensitivity,N2,1768.496944449176,0.0,4967.505545252205,65.593306298181,29.669844657114368,0.043437993533610116
