id,family,group,section,case,ratio,Nc,Nt,My,Mz,V,T,Pc,Pt,Mmajor,Mminor,Vc,Tc,Lb
M019,T1:web,T1,HSS2.5x2.5x0.125,strength T1@4/8,0.33630429526052763,0.0,10237.996677853973,21.742242853248126,4419.504486935973,94.30411115400568,94.30040267552393,27458.6538155057,48150.0,35910.0,35910.0,16031.25,20039.0625,84.6432482349228
M020,T1:web,T1,HSS2.5x2.5x0.125,strength T1@6/8,0.08916627189169697,0.0,1700.3173837714278,142.0301395894736,1791.8435137146364,31.79811930491797,110.2173932061763,27458.6538155057,48150.0,35910.0,35910.0,16031.25,20039.0625,84.6432482349228
M021,T1:web,T1,HSS2.5x2.5x0.125,strength T1@3/8,0.6325453203755349,12066.140223033259,0.0,239.88163162000387,4868.762744810509,75.16248173132047,17.298730321151538,24610.568332969575,48150.0,35910.0,35910.0,16031.25,20039.0625,92.52767205954531
M022,T1:web,T1,HSS2.5x2.5x0.125,strength T1@4/8,0.5339817880690011,11510.520227747007,0.0,364.07536944012253,2015.8739463015036,40.30517136424078,40.34086622871684,24610.568332969575,48150.0,35910.0,35910.0,16031.25,20039.0625,92.52767205954531
M023,T-W:lower,T-W,HSS6x6x0.25,strength B2@0/8,0.7780203016869309,0.0,635.6541459712721,40331.574891535514,6343.975545462694,6224.557244454059,162507.80602198187,219980.1932857319,235800.0,428850.0,428850.0,77625.0,232875.0,72
M024,T-W:upper,T-W,HSS6x6x0.25,strength roof,0.02364861994596871,0.0,452.3189542961407,6736.38106478542,2582.696081019936,60.628735442401236,3428.962177099926,228571.67674595033,235800.0,428850.0,428850.0,77625.0,232875.0,48.20874747733375
M025,T-W:web,T-W,HSS3x3x0.188,strength roof,0.03261702149851657,0.0,767.2161315862515,347.98083222139337,1393.422838072065,37.404257907043636,545.3218161403062,72778.63527236217,85050.0,73800.0,73800.0,28547.424,42821.136,52.66643440704908
M026,T-W:upper,T-W,HSS6x6x0.25,strength roof,0.023702467165779745,0.0,1445.2794286841497,4436.4541212898785,3099.815916006684,397.5119245363991,2843.9455163191856,233905.75843635382,235800.0,428850.0,428850.0,77625.0,232875.0,24.537386440559093
M027,T-W:web,T-W,HSS3x3x0.188,strength roof,0.07123429704627851,0.0,1449.4712400305789,547.7216390599608,3451.6272429288583,91.75444080544197,385.1011196463041,74237.1601675828,85050.0,73800.0,73800.0,28547.424,42821.136,49.19889807041559
M028,T-W:upper,T-W,HSS6x6x0.25,strength roof,0.10132740021883371,0.0,2753.5330567649107,28546.236048159873,9900.162659547734,1177.9574636614693,815.1575483093426,219980.1932857319,235800.0,428850.0,428850.0,77625.0,232875.0,72
