case,group,Ncomp,Ntension,M,V,T,ratio
strength floor,W3,2351.4823197303567,0.0,33909.355797207434,391.76321047628005,729.6327915731085,0.2685480469819218
strength floor,O2,991.1096477985848,0.0,295492.4814424829,11674.939144401942,2999.091199140865,0.5004097667880745
strength floor,B3,61.71488581536687,0.0,173127.27607154674,5391.62093721792,13131.028887627857,0.29188445659073026
strength floor,W2,11615.591776378522,0.0,82960.84091453484,1039.5604355948433,393.356294348169,0.7261854899907092
strength floor,N1,10419.795679727775,0.0,10894.322405089582,146.8366383787071,1014.400960958416,0.19741069575337114
strength floor,O3,304.4295490292716,0.0,25411.453391697865,1410.6733165077592,554.744172297192,0.8874983337212239
strength floor,B2,0.0,386.68042461096775,326669.52965203166,8029.88911245975,9500.034187556272,0.34020161984742137
strength floor,T-S,929.4084675413615,795.8957717144513,5642.8820475061375,252.51049402413656,265.9934814200785,0.2591575605773765
strength floor,W4,6999.033999538569,0.0,4738.397743120665,38.38747495427726,424.416247673784,0.11480546412825811
strength floor,T-E,10444.012675807822,12701.033574210696,37798.06197075258,6217.862328574924,180612.5604165142,0.8556785717755834
strength floor,T-W,5003.560556727699,6123.744379259234,155412.70858475254,7307.856390720847,147341.49321827508,0.7184598521400649
strength floor,S3,9566.891545783814,0.0,16523.08947472074,285.79947633317045,15.317439081434154,0.2281629573718792
strength floor,T-SO,1.371193970553577,18.301433452405035,82910.36381654062,2116.7098838453235,50754.76644634925,0.11395285504104936
strength floor,S2,5298.21885671369,0.0,16762.994201057965,326.00960389230323,77.29821625442634,0.1810552631210719
strength floor,W1,2558.9006878108376,0.0,26713.858133330214,304.8273699373907,167.54448560230966,0.21953218007267544
strength roof,T1,6653.534367127876,7533.700314377158,197550.3177037982,6034.501376712151,1552.352581384825,0.8899552123657655
strength roof,N2,17628.542867461096,0.0,37143.98572111864,474.0740817528882,677.5910106760371,0.4683484003644341
strength roof,B-WO,24.261833404307254,369.1843411461159,61267.13471521833,2651.305088692785,4675.45194907036,0.8345373381083817
strength roof,S1,91.8591300000001,0.0,0.0,0.0,0.0,0.0010624013113844383
strength roof,T-N,8128.344459122743,7509.5370179413,69846.84796535323,3896.754427077829,16890.495887292964,0.4991357942020133
strength roof,W3,2135.862729657437,0.0,31764.169470522764,356.485784367232,682.6606649150094,0.2507260541027993
strength roof,O2,997.3348981644958,0.0,314696.0041138181,12367.327453677415,1209.145986420365,0.5327574441621719
strength roof,B3,58.5140306254616,0.0,115566.0608208141,3617.556747159265,11995.481053302507,0.19495804243331916
strength roof,W2,12256.22261971233,0.0,83044.96256335701,1044.8416529008769,402.23275645832297,0.7341958212878756
strength roof,N1,8562.25912671387,0.0,10428.859300186086,156.42256959995171,950.662909370387,0.17260134058168858
strength roof,O3,264.72925877716625,0.0,23169.970855813954,1369.8482140838194,561.3742794494923,0.808938574555565
strength roof,B2,0.0,260.9008765195031,227739.48029579365,5552.679816115829,9456.314968182607,0.23715144432455862
strength roof,T-S,1033.0769195093308,804.6932989233464,6096.8151755569825,272.4964351698072,274.9482276608132,0.2799682287186129
strength roof,W4,5882.814428313377,0.0,7598.844398065368,56.476712243655555,419.02515409298223,0.12233483295467817
