case,column,P_lb,Vx_lb,Vy_lb,Mx_lbin,My_lbin
service full125,S3,11412.344093296855,-454.5880697678067,130.58450741109047,-5110.457726067625,-22798.59839427715
service patch1000,W1,1881.777464010887,-20.931583180002697,-277.6266616601257,6779.9068980731745,-5247.256827441499
service patch1000,W2,9004.22111849286,779.392646225149,120.16643803924734,-6270.637284211582,19044.81540672004
service patch1000,W3,2573.3890495532596,400.62273392071086,103.82217839109218,-5736.159073274263,8680.72547225425
service patch1000,W4,4233.877373460757,-37.00053281483297,58.19302048828511,-4234.7933127831075,-4116.708377662886
service patch1000,S1,110.24612499999994,0.0,0.0,0.0,0.0
service patch1000,S2,4298.849793449068,-302.7505912162098,32.840858689778095,-1731.4889926733333,-14657.48414129999
service patch1000,N1,3937.207822194419,-90.87028633626427,3.0923344725820137,-207.2051034063488,-5886.544247462751
service patch1000,N2,11737.722571937315,-411.2756600536527,-131.29732344965268,4025.892785132898,-16427.420154741325
service patch1000,S3,7986.926299277201,-317.18672537076645,90.80915514975764,-3633.8495875003573,-15846.01882179636
strength floor,W1,2071.0203591888594,-28.566473444027764,-283.5830265797698,6300.429763162649,-6872.631859411159
strength floor,W2,11899.644996620165,1068.6053617984078,183.6637770921887,-9032.73195167602,26615.911652151677
strength floor,W3,4008.4372535386838,710.4216653369681,139.10055282549925,-7575.378248944262,18373.95311861221
strength floor,W4,8078.337787427784,-8.476848869634683,83.75552202634888,-5752.801032120862,-2627.8440764086645
strength floor,S1,132.29534999999993,0.0,0.0,0.0,0.0
strength floor,S2,4890.431593188726,-375.59558412022375,37.284709407832366,-1944.783775544083,-18416.85909159255
strength floor,N1,6996.798406386527,-90.57600236837695,-0.5961107841615025,682.2307877895543,-5329.187296387786
strength floor,N2,19728.31374701303,-872.0068309014332,-276.1653608964402,8888.383138079975,-31014.921072066056
strength floor,S3,10211.993524404732,-403.80528610604006,116.53993710301474,-4541.534303758582,-20254.34823388269
strength roof,W1,2596.79732421723,-29.21550633507949,-382.3593491541848,9138.382786639946,-7290.59958257619
strength roof,W2,12605.802626778097,1105.543757462539,176.43294897122888,-9195.165392227851,27350.99789254323
strength roof,W3,3752.9052052630504,610.1918590317006,142.90012984684594,-8097.171809457592,14262.392648362718
strength roof,W4,6457.056457576181,-34.91136150025285,99.57332613960001,-6669.240761326403,-4513.925748178408
strength roof,S1,132.29534999999993,0.0,0.0,0.0,0.0
strength roof,S2,5994.21139732383,-418.8837940143064,43.1821383913378,-2256.25905659497,-20297.8345822586
strength roof,N1,5888.075248056355,-111.61300926079498,4.877702414320875,-335.6088561450535,-7034.989739628607
strength roof,N2,18136.43704715637,-680.3146283408635,-209.5138881979338,6574.011031919119,-25735.03930704166
strength roof,S3,11419.011197908132,-440.7973155279569,124.906991758494,-4937.611799907907,-21976.176313536056
uplift sensitivity,W1,327.5158538680775,2.5198491617822905,-26.24025735649784,533.880233431217,-427.78747494922203
uplift sensitivity,W2,1312.889112904782,107.7140486436462,16.590665074233883,-870.893908200683,2808.047107130096
uplift sensitivity,W3,442.97886043803584,51.323757604879276,15.968314829554975,-850.9689564258756,1386.5174332395907
uplift sensitivity,W4,762.414580907638,2.579204883262941,2.132643354469731,-396.56845348616406,4.765725910823348
uplift sensitivity,S1,99.22151249999997,0.0,0.0,0.0,0.0
uplift sensitivity,S2,396.9396355137562,-46.17237400334254,3.7624205349028563,-257.8860649431466,-2079.014237606257
uplift sensitivity,N1,1242.992755348141,-3.600277877616665,1.1124373992123529,-126.75163021477523,-197.7545671735146
uplift sensitivity,N2,1430.9209246662,-78.79989718187231,-27.194606850182222,780.1375118215987,-2669.8673922405383
uplift sensitivity,S3,558.6673558084361,-35.564311145512086,13.868383029231785,-590.2109142014737,-1826.0839621061868
lateral X sensitivity,W1,1242.3917396488532,-227.38558244078115,-184.42740600491015,4883.419384605681,-20785.261132870313
lateral X sensitivity,W2,5119.46310833256,-268.9150760234486,73.66981953026912,-3599.5284020897593,-29326.016847600516
lateral X sensitivity,W3,1382.1084165947793,-158.55195643298765,62.66418678972605,-3277.322614323366,-22358.035830038116
lateral X sensitivity,W4,3079.9249834863,-323.186816225208,20.076888926510538,-1881.2903998788936,-25869.308652297364
lateral X sensitivity,S1,110.24612499999994,0.0,0.0,0.0,0.0
lateral X sensitivity,S2,2999.344492631035,-627.0801954592118,43.912908270045804,-2270.389610407097,-34656.801037981844
lateral X sensitivity,N1,3531.177237922825,-410.849686370493,0.821909251432425,45.304808024587885,-28754.226641910405
lateral X sensitivity,N2,9488.675152580381,-965.0156768067297,-106.86343560260879,2973.319570952066,-46969.676186950564
lateral X sensitivity,S3,5959.4033278101815,-722.5720700546573,90.14512894591817,-3786.057940420403,-39605.920460189736
lateral Y sensitivity,W1,777.1219096002044,-48.01931357023623,-511.4479609344937,27700.309241340718,-6090.01642527422
lateral Y sensitivity,W2,5268.159068908173,407.99587043201615,-476.0434513376451,26522.66140036549,8398.014807944486
lateral Y sensitivity,W3,2184.8903363204454,405.388242483837,-423.45162182269735,24735.88513449474,11116.618412202515
lateral Y sensitivity,W4,4483.937657089613,26.453422564177863,-430.7895227584125,24952.958783699458,530.3578562776463
lateral Y sensitivity,S1,110.24612499999994,0.0,0.0,0.0,0.0
lateral Y sensitivity,S2,-374.9049449389365,-247.46278577851726,-849.1768550072061,43174.131455730305,-12951.0045992506
lateral Y sensitivity,N1,3777.6176081716094,-17.989572310201222,-112.43360774582084,18883.718254359585,-948.4100307859298
lateral Y sensitivity,N2,9874.665667131705,-286.5990270052388,-850.8855450859701,43498.3345028521,-9828.851226201725
lateral Y sensitivity,S3,6811.001156714596,-239.76683611734634,-807.3165741045725,41809.38572271971,-12831.502147630248
