member,end,joint,status,connected_to,gap_in,source_member
T-S vertical 4,end,T-S top / segment 1 @ 0.5,connected,T-S diagonal 10; T-S diagonal 11; T-S top / segment 1,0.0,T-S vertical 4 | HSS1-1/2X1-1/2X1/8
T-S vertical 5,start,T-S @ 0.666666666667,connected,T-S; T-S diagonal 11; T-S diagonal 12,0.0,T-S vertical 5 | HSS1-1/2X1-1/2X1/8
T-S vertical 5,end,T-S top / segment 1 @ 0.666666666667,connected,T-S top / segment 1,0.0,T-S vertical 5 | HSS1-1/2X1-1/2X1/8
T-S vertical 6,start,T-S @ 0.833333333333,connected,T-S,0.0,T-S vertical 6 | HSS1-1/2X1-1/2X1/8
T-S vertical 6,end,T-S top / segment 1 @ 0.833333333333,connected,T-S diagonal 12; T-S diagonal 13; T-S top / segment 1,0.0,T-S vertical 6 | HSS1-1/2X1-1/2X1/8
T-S diagonal 8,start,W.bottom @ 0.195652173913,connected,T-S; W.bottom,0.0,T-S diagonal 8 | HSS1-1/2X1-1/2X1/8
T-S diagonal 8,end,T-S top / segment 1 @ 0.166666666667,connected,T-S diagonal 9; T-S top / segment 1; T-S vertical 2,0.0,T-S diagonal 8 | HSS1-1/2X1-1/2X1/8
T-S diagonal 9,start,T-S top / segment 1 @ 0.166666666667,connected,T-S diagonal 8; T-S top / segment 1; T-S vertical 2,0.0,T-S diagonal 9 | HSS1-1/2X1-1/2X1/8
T-S diagonal 9,end,T-S @ 0.333333333333,connected,T-S; T-S diagonal 10; T-S vertical 3,0.0,T-S diagonal 9 | HSS1-1/2X1-1/2X1/8
T-S diagonal 10,start,T-S @ 0.333333333333,connected,T-S; T-S diagonal 9; T-S vertical 3,0.0,T-S diagonal 10 | HSS1-1/2X1-1/2X1/8
T-S diagonal 10,end,T-S top / segment 1 @ 0.5,connected,T-S diagonal 11; T-S top / segment 1; T-S vertical 4,0.0,T-S diagonal 10 | HSS1-1/2X1-1/2X1/8
T-S diagonal 11,start,T-S top / segment 1 @ 0.5,connected,T-S diagonal 10; T-S top / segment 1; T-S vertical 4,0.0,T-S diagonal 11 | HSS1-1/2X1-1/2X1/8
T-S diagonal 11,end,T-S @ 0.666666666667,connected,T-S; T-S diagonal 12; T-S vertical 5,0.0,T-S diagonal 11 | HSS1-1/2X1-1/2X1/8
T-S diagonal 12,start,T-S @ 0.666666666667,connected,T-S; T-S diagonal 11; T-S vertical 5,0.0,T-S diagonal 12 | HSS1-1/2X1-1/2X1/8
T-S diagonal 12,end,T-S top / segment 1 @ 0.833333333333,connected,T-S diagonal 13; T-S top / segment 1; T-S vertical 6,0.0,T-S diagonal 12 | HSS1-1/2X1-1/2X1/8
T-S diagonal 13,start,T-S top / segment 1 @ 0.833333333333,connected,T-S diagonal 12; T-S top / segment 1; T-S vertical 6,0.0,T-S diagonal 13 | HSS1-1/2X1-1/2X1/8
T-S diagonal 13,end,E.bottom @ 0.195652173913,connected,E.W1; E.bottom; S3; T-S,0.0,T-S diagonal 13 | HSS1-1/2X1-1/2X1/8
T1 vertical 2,start,T1 upper lower chord @ 0.25,connected,T1 future hanger 2; T1 upper lower chord,0.0,T1 vertical 2 | HSS1-1/2X1-1/2X1/8
T1 vertical 2,end,T1 top / segment 1 @ 0.25,connected,T1 diagonal 6; T1 diagonal 7; T1 top / segment 1,0.0,T1 vertical 2 | HSS1-1/2X1-1/2X1/8
T1 vertical 3,start,T1 upper lower chord @ 0.5,connected,T1 diagonal 7; T1 diagonal 8; T1 future hanger 3; T1 upper lower chord,0.0,T1 vertical 3 | HSS1-1/2X1-1/2X1/8
T1 vertical 3,end,T1 top / segment 1 @ 0.5,connected,T1 top / segment 1,0.0,T1 vertical 3 | HSS1-1/2X1-1/2X1/8
T1 vertical 4,start,T1 upper lower chord @ 0.75,connected,T1 future hanger 4; T1 upper lower chord,0.0,T1 vertical 4 | HSS1-1/2X1-1/2X1/8
