case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,TN-P012,N614,interior_applied_load,,-18.0,249.0,229.319,-1.1612470480546089e-13,-6.823118306104685,7.352439862155765e-12,6.369268213616035e-12,5.327979553774432e-11,-1.288303204771328e-12
roof_first_service,TN-P013,N450,interior_applied_load,,-15.5,249.0,172.16,-5.443034802549302e-14,-8.279007407834593,3.9965495756619254e-14,-3.930134997652227e-12,2.878429939743311e-13,4.340934873046521e-14
roof_first_service,TN-P014,N451,interior_applied_load,,-7.75,249.0,200.739,-1.4458665788060945e-13,-8.279007407834886,1.2355625314205713e-13,1.262278693587829e-13,3.627133575390979e-13,-4.28116251858865e-14
roof_first_service,TN-P015,N190,interior_applied_load,,-3.85,249.0,115.0,-2.213241733577109e-12,-6.714053410398191,1.1038716735836628e-12,-3.2143050965245494e-13,-2.7659937151512877e-12,5.251096007746636e-13
roof_first_service,TN-P016,N191,interior_applied_load,,0.0,249.0,115.0,2.7359449705777195e-09,-1.2221072750073247,-2.065421321351124e-05,-2.8321961220711955e-08,3.6383764192147044e-07,7.560189616007129e-08
roof_first_service,TN-P017,N429,interior_applied_load,,0.0,249.0,117.5,-1.53934573683446e-09,-3.8379523854006963,-1.4965901902281764e-09,5.326075048551768e-10,-1.6177822919935976e-11,-6.209201037776056e-09
roof_first_service,TN-P018,N430,interior_applied_load,,0.0,249.0,144.955,-2.6712342908848726e-16,-7.6759047715695825,4.496803610689998e-14,-1.8035835206800691e-12,9.07114434686517e-16,-8.172754674875996e-14
roof_first_service,TN-P019,N431,interior_applied_load,,0.0,249.0,172.41,-1.085688188877469e-15,-7.675904771569663,2.459760914324231e-14,9.050212781594806e-14,-1.7295467400423047e-16,-2.4032627192299812e-14
roof_first_service,TN-P020,N432,interior_applied_load,,0.0,249.0,199.864,-1.6869285902819521e-15,-7.675904771569706,7.537255164426663e-14,-6.682663574849315e-13,-4.140558537270074e-16,-2.2969886145271863e-14
roof_first_service,TN-P021,N433,interior_applied_load,,0.0,249.0,227.319,3.725290298461914e-09,-3.8379523858893663,0.0,0.0,0.0,-3.725290298461914e-09
roof_first_service,TN-P022,N452,interior_applied_load,,-0.0,249.0,229.319,3.725290298461914e-09,-10.271621759980917,4.76837158203125e-07,-2.384185791015625e-07,0.0,-7.450580596923828e-09
roof_first_service,TN-P023,N192,interior_applied_load,,0.031,249.0,115.0,1.102191323446038e-10,-0.31487229042757864,1.4857241656418594e-05,-4.199867020707934e-11,5.493569783576243e-07,3.7146099643359464e-09
roof_first_service,TN-P024,N193,interior_applied_load,,1.0,249.0,115.0,4.547473508864641e-12,-10.190374840126651,-1.0429488384033903e-09,7.958078640513122e-12,-6.716049938404467e-10,1.198259269585833e-10
roof_first_service,TN-P025,N615,interior_applied_load,,10.167,249.0,229.319,1.608792523845034e-13,-8.345486119928365,3.2101850418743056e-12,-6.611368925230455e-14,-4.890367755293828e-14,9.667947794473554e-14
roof_first_service,TN-P026,N453,interior_applied_load,,10.6,249.0,137.864,1.1368683772161603e-13,-6.9329632482417765,-5.684341886080802e-14,6.0254023992456496e-12,-3.183231456205249e-12,-1.4210854715202004e-14
roof_first_service,TN-P027,N454,interior_applied_load,,20.2,249.0,160.728,-1.0507011386104574e-13,-6.932963248241928,3.435583537366133e-14,6.468477622680115e-12,-1.1347840801248246e-12,-7.498494923317046e-15
roof_first_service,TN-P028,N194,interior_applied_load,,21.385,249.0,115.0,8.551155548226899e-13,-7.336587470093687,-1.059307783571569e-11,5.795634498046488e-14,3.572019999045153e-11,8.647220387178563e-12
roof_first_service,TN-P029,N195,interior_applied_load,,24.3,249.0,115.0,-1.0746127077579973e-12,-6.723893304357861,1.7356458720984218e-11,1.3764343274648248e-13,4.771284573451934e-11,5.290338817799182e-12
